fname_c1	fname_c2	lname_c1	lname_c2	by	bm	bd
SABINE	NA	WEBER	NA	1977	12	16
SABINE	NA	SCHULZ	NA	1942	3	8
SABINE	NA	MUELLER	NA	1950	1	26
MARTHA	ANNA	JAEGER	NA	1992	2	12
ERIKA	NA	KRAUS	NA	1980	12	2
BIRGIT	NA	WAGNER	NA	1961	3	15
HEIDI	NA	FRIEDRICH	NA	1962	5	10
BRIGILTTE	MARGOT	SOMMER	NA	2000	6	19
IRMGALRD	NA	LANG	NA	1980	1	27
SILKE	NA	MAYER	NA	1979	11	18
ANJA	NA	RICHTER	NA	1941	7	30
BAERBEL	NA	BERGER	NA	1973	1	22
ANNELIESE	NA	KOCH	NA	1957	4	11
NICOLE	URSULA	SIMON	NA	1974	1	6
INGE	NA	BECK	NA	1968	8	24
GISELA	NA	SCHMID	NA	1952	6	17
SANDRA	NA	MOELLER	NA	1940	11	7
MARTINA	NA	WAGNER	NA	1941	1	10
GERTRUD	NA	MAYER	NA	1952	2	27
GERTRUD	NA	SCHULZE	NA	1944	8	2
SUSANNE	NA	KOEHLER	NA	1966	5	1
SUSANNE	NA	MUELLER	NA	1969	11	7
WALTRAUD	NA	BECKER	NA	1978	11	14
KARIN	NA	WOLF	NA	1979	4	10
BETTINA	NA	KUEHN	NA	2000	3	12
MONIKA	NA	SAUER	NA	1976	12	10
CLAUDIA	MARTHA	KOERTIG	NA	2004	1	6
NICOLE	NA	BECK	NA	1962	1	27
ANJA	NA	WEISS	NA	1961	12	26
MONIKA	NA	ROTH	NA	1964	4	22
ANGELIKA	NA	ZIEGLER	NA	1957	3	15
HELGA	NA	SCHMIDT	NA	1929	6	26
HELGA	NA	FRANK	NA	1961	2	4
RENATE	NA	SCHWARZ	NA	2006	3	1
SABINE	NA	BAUER	NA	1998	8	15
HELGA	NA	KRAUSE	NA	1943	1	21
KARIN	SABINE	WAGNER	NA	1961	4	23
INGE	KERSTIN	HOFFMANN	NA	1967	2	20
BIRGIT	NA	FRANK	NA	1976	2	15
JUTTA	NA	FRANKE	NA	1999	6	20
GERDA	NA	FISCHER	NA	1985	10	30
JUTTA	NA	MAIER	NA	1984	10	16
HEIKE	NA	BERGER	NA	1939	2	27
INGRID	NA	MEYER	NA	1967	6	6
GABRIELE	NA	KOEHLER	NA	1948	10	12
KATHARINA	NA	KRUEGER	NA	1959	2	10
HEIKE	NA	PFEIFFER	NA	1999	5	1
RENATE	NA	SCHULZ	NA	1973	11	19
UTE	NA	SCHULTE	NA	1936	2	21
KATHARINA	NA	MEYER	NA	1966	9	1
ELISABETH	NA	SCHMID	NA	1976	6	18
URSULA	NA	SCHNEIDER	NA	1988	6	3
JULIA	KARIN	WAGNER	NA	1932	12	5
ANGELPIKA	NA	LANGE	NA	1960	4	8
KARIN	NA	BAUER	NA	1939	4	22
INGRID	NA	SCHMID	NA	1949	2	6
ANNA	CHRISTINA	WAGNER	NA	1990	9	10
GERDA	NA	BRANDT	NA	1963	6	30
CHRISTINA	NA	KELLER	NA	1961	10	26
RENATE	NA	NEUMANN	NA	1950	2	22
MARGARETE	NA	KLEIN	NA	2004	10	31
SANDRA	NA	LEHMANN	NA	1995	6	6
ANGELBIKA	NA	LUDWIG	NA	1974	2	19
ILSE	NA	SCHAEFER	NA	2005	2	8
JOHANNA	NA	SCHWARZ	NA	2005	12	9
SILVIA	NA	SCHMID	NA	1992	12	28
BIRGIT	NA	MEYER	NA	1924	12	6
HEIKE	NA	BERGMANN	NA	1955	7	4
INGRID	RENATE	SCHMIDT	NA	1945	2	11
ANNA	NA	KUHN	NA	1981	10	5
SILVIA	NA	BECK	NA	1951	12	4
HANNELORE	NA	SAUER	NA	1961	5	16
RENATE	UTE	SCHULZ	NA	1935	3	22
KARIN	NA	LUDWIG	NA	1998	1	11
INGRID	NA	SCHROESER	NA	1999	9	30
KATHARINA	NA	MOELLER	NA	1987	1	14
HELGA	NA	SCHNEIDER	NA	1968	6	27
KATHRIN	NA	NEUMANN	NA	1996	12	2
FRIEDA	BIRGIT	SCHOLZ	NA	1955	8	5
BIRGIT	NA	BQUER	NA	1967	4	12
HELGA	NA	BECKER	NA	2000	2	7
MONIKA	NA	WOLF	NA	1935	8	26
STEFANIE	NA	SCHULZE	NA	1962	4	15
CHRISTINA	NA	SCHNEIRER	NA	1961	8	17
SILVIA	NA	BECKER	NA	1993	11	2
SANDRA	NA	HERRMANN	NA	1951	10	10
MARTINA	NA	WERNER	NA	1940	7	23
MONIKA	NA	KRAUSE	NA	2003	11	6
URSULA	NA	MUELLER	NA	1961	12	16
ANGELIKA	NA	KELLER	NA	1940	8	23
KERSTIN	NA	KLEIN	NA	1938	4	17
HELGA	NA	JAEGER	NA	1991	8	27
KARIN	NA	MUELLER	NA	1940	6	22
ILSE	NA	MUELLER	NA	1959	2	3
HELGA	NA	SOMMER	NA	1981	12	4
KATHRIN	NA	MUELLER	NA	1951	5	7
SABINE	NA	WINKLER	NA	1941	2	11
MONIKA	NA	SCHAEFER	NA	1970	8	2
CLAUDIA	NA	SCHMIDT	NA	1977	6	28
ANJA	NA	MAYER	NA	1964	2	15
HELGA	NA	WAGNER	NA	1961	10	26
SABINE	NA	SCHNEIDER	NA	1985	6	26
GABRIELE	MARTINA	KLEIN	NA	1992	5	17
SONJA	NA	SCHNEIDER	NA	1992	11	24
BIRGIT	NA	HUFMANN	NA	1971	4	4
REGINA	NA	MUELLER	NA	1925	4	17
MARTINA	NA	SIMON	NA	1939	1	10
RUTH	NA	FISCHER	NA	1983	2	3
SABINE	NA	SCHWARZ	NA	1971	7	26
CHRISTCEL	NA	JAEGER	NA	1951	12	14
TANJA	NA	SCHMIDT	NA	1976	12	29
GABRIELE	NA	BERGER	NA	1989	10	11
KATHARINA	KATHARINA	LANGE	NA	2001	8	31
ANGELIKA	SUSANNE	GUENTHER	NA	1972	8	27
RENATE	NA	SCHNEIDER	NA	1983	9	27
HILDEGARD	NA	MUELLER	NA	1961	11	1
BIRGIT	NA	BAUMANN	NA	1965	10	16
INGRID	NA	WERNER	NA	1969	10	2
NICOLE	NA	KOERTIG	NA	1997	7	11
ERIKA	NA	SAUER	NA	1977	7	19
SUSANNE	NA	BRAUN	NA	1959	9	1
PETRA	NA	HAHN	NA	1975	6	3
MARGARETE	NA	SCHMIDT	NA	1938	2	1
GISELA	ANGELA	ALBRECHT	NA	1960	12	27
SUSANNE	NA	WOLF	NA	1969	2	6
BETTINA	NA	MEYER	NA	1955	7	3
SUSANNE	NA	FRANK	NA	1939	5	12
HELGA	NA	WOLF	NA	1988	10	26
MARGAREQTE	NA	SCHMIDT	NA	1938	2	1
ELKE	NA	OTTO	NA	1972	7	26
URSULA	NA	SCHREIBER	NA	1985	4	13
INGEBORG	NA	SCHUSTER	NA	1979	7	18
MARION	NA	MAYER	NA	1999	12	20
ANKE	NA	BRAUN	NA	1962	1	2
BARBARA	NA	SCHNEIDER	NA	1980	1	19
GABRIELE	NA	GUENTHER	NA	1959	11	9
FRIEDA	NA	SCHAEFER	NA	1999	2	5
PETRA	NA	BAUER	NA	1946	11	21
GABRIELE	NA	ALBRECHT	NA	1929	11	4
SABINE	NA	SCHULZ	NA	1996	5	19
INGRID	NA	KRAEMER	NA	1998	12	20
ANJA	NA	VOGT	NA	1986	12	14
RENATE	NA	KAISER	NA	1952	3	13
KATHRIN	NA	SCHAEFER	NA	1951	1	22
SUSANNE	NA	LORENZ	NA	1977	7	13
CLAUDIA	NA	BAUER	NA	1992	11	16
URSULA	NA	MUELLER	NA	1940	6	14
KATHRIN	NA	MUELLER	NA	1953	6	18
SUSANNE	NA	SCHREIBER	NA	1955	8	25
RENATE	NA	SCHNEIDER	NA	1983	4	12
SABINE	NA	SCHWARZ	NA	1966	10	16
MARIANNE	NA	SCHULTE	NA	1992	11	25
KERSTIN	NA	SCHNEIDER	NA	1952	2	1
INGRID	NA	BAUMANN	NA	1952	6	7
INGRID	NA	RICHTER	NA	1954	10	25
INGRID	NA	WOLF	NA	1942	12	9
ANDREA	NA	NEUMANN	NA	1926	11	25
CHRISTA	NA	BRAUN	NA	2007	8	6
BRITTA	NA	MEIER	NA	1987	3	4
JUTTA	NA	MUELLER	NA	1988	7	28
URSULA	NA	KOERTIG	NA	1977	8	29
URSULA	KARIN	LUDWIG	NA	1947	9	5
MONIKA	NA	WOLF	NA	2008	3	21
JUTTA	NA	KOCH	NA	1924	8	28
CLAUDIA	NA	SCHNEIDER	NA	1959	7	6
URSULA	NA	SCHAEFER	NA	1997	21	25
INGE	NA	KOCH	NA	1936	4	21
HERTHA	NA	WOLF	NA	1966	7	15
GERDA	NA	MOELLER	NA	1963	4	25
CHRISTINA	NA	SCHMITZ	NA	1957	9	12
HELGA	NA	KRUEGER	NA	1951	9	29
GISELA	NA	ALBRECHT	NA	1985	7	16
KARIN	NA	KOCH	NA	1935	12	28
GERDA	NA	MULLER	NA	1953	3	9
HEIKE	NA	MEIER	NA	1994	4	20
BIRGIT	NA	HOFMANN	NA	1971	4	4
BIRGIT	NA	KRAUSE	NA	1969	2	11
URSWULA	NA	ALBRECHT	NA	1986	7	10
RUTH	NA	SCHMIDT	NA	1979	4	29
PETRA	NA	SCHAEFER	NA	1967	12	16
KAETHE	NA	SCHUSTER	NA	1979	12	29
GISELA	NA	SCHMIDT	NA	1927	4	26
SABINE	NA	ROTH	NA	1998	11	9
RENATE	NA	MEIER	NA	2004	11	1
MARIA	NA	PETERS	NA	1926	11	6
KATHARINA	NA	WEBER	NA	1989	2	5
URSULA	NA	MARTIN	NA	1945	10	16
GISELA	RUTH	LANGE	NA	1944	8	19
ANNA	NA	SCHNEIDER	NA	1964	4	13
MARTHA	NA	SCHMIDT	NA	1990	12	11
EDITH	NA	BERGER	NA	1983	2	13
GISELA	NA	HOFMANN	NA	1941	10	21
MARIA	NA	LEHMANN	NA	1945	4	17
ANDREA	NA	MUELLER	NA	1997	12	7
CLAUDIA	NA	SCHMITZ	NA	1929	9	18
CLAUDIA	NA	BERGMANN	NA	1985	12	25
HELGA	NA	BAUER	NA	1938	12	16
PETRA	NA	BRAUN	NA	1998	10	4
BRITTA	NA	SCHMITZ	NA	1956	7	8
ANGELIKA	NA	KRUEGER	NA	1961	6	3
SUSANPNE	NA	RICHTER	NA	1998	6	23
CLAUDIA	NA	LUDWIG	NA	1956	8	7
MONIKA	NA	HOFMANN	NA	1947	4	16
UTE	NA	ALBRECHT	NA	1995	8	3
PETRA	ANGELIKA	SCHMIDT	NA	1995	8	1
ERIKA	ERIKA	NEUMANN	NA	1974	7	3
GISELA	NA	LUDWIG	NA	1961	7	18
MONIKA	NA	MUELLER	NA	1964	5	10
STEFANIE	NA	SIMON	NA	1956	9	20
MONIKA	NA	BECK	NA	1951	6	14
TANJA	INGRID	SCHMIDT	NA	1943	9	23
HELENE	NA	SOMMER	NA	1969	5	19
JULIA	NA	WAGNER	NA	1930	5	2
JUTTA	NA	HARTMANN	NA	1965	12	27
ANDREA	NA	BRAUN	NA	1969	11	11
ANDREA	NA	WERNER	NA	2005	10	18
ANGELIKA	NA	LUDWIG	NA	1974	2	19
GISELA	NA	BAUER	NA	1960	1	15
HILDEGARD	JUTTA	NEUMANN	NA	1930	4	22
KARIN	BIRGIT	KELLER	NA	1941	2	28
ERIKA	NA	BECK	NA	1972	5	5
MONIKA	NA	ENGEL	NA	1977	11	4
KATHRIN	NA	LANGE	NA	1961	5	9
MARIA	NA	BRANDT	NA	1940	8	31
GERDA	NA	WOLF	NA	1967	9	11
MARTHA	NA	BUSCH	NA	1932	11	4
ANKE	NA	KRAUSE	NA	1980	1	22
RENATE	NA	SCHMIDT	NA	1929	10	3
MONIKA	NA	BAUER	NA	1936	12	21
HELGA	NA	SCHAEFER	NA	1985	5	25
RENATE	NA	MUELLER	NA	1952	12	11
PETRA	NA	MEIER	NA	1942	10	17
ANNA	NA	MEYER	NA	1990	8	6
KARIN	BARBARA	KLEIN	NA	1986	11	20
MONIKA	NA	BRAUN	NA	1928	9	18
SUSANNE	NA	BERGMANN	NA	1965	3	24
MARIA	NA	WEBER	NA	1971	2	14
KARIN	MONIKA	WEBER	NA	1946	1	26
BIRGIT	NA	FRANK	NA	2003	2	11
BIRGIT	BARBARA	HOFFMANN	NA	1929	10	31
CHRISTEL	NA	GROSS	NA	1960	8	10
STEFANIE	NA	MUELLER	NA	1952	1	12
STEFANIE	NA	MUELLEO	NA	1952	1	12
SUSANNE	NA	KOERTIG	NA	1946	10	8
MARTINA	NA	WALTER	NA	1961	3	3
INGRID	NA	SCHREIBER	NA	1965	12	16
HEIKE	NA	WALTER	NA	1957	11	30
GERDA	NA	WEBER	NA	1958	5	19
ELISABETH	NA	FRIEDRICH	NA	1982	10	21
INGRID	NA	BAUER	NA	1992	11	5
SABINE	NA	LUDWIG	NA	1951	1	17
BIRGIT	NA	SCHNEIDER	NA	1940	9	11
GERTRUD	NA	SCHULTE	NA	1952	5	20
CHRISTA	NA	WEBER	NA	1962	10	24
INGEBORG	NA	HORN	NA	1971	7	15
CHRISTIANE	NA	LORENZ	NA	1953	4	18
MARTINA	NA	WOLF	NA	1979	12	26
SABINE	NA	SCHMIDT	NA	1938	11	20
ILSE	NA	LANGE	NA	1956	2	7
GERTRUDD	NA	KUHN	NA	1960	3	9
HERTHA	NA	FISCHER	NA	1997	12	24
SUSANNE	NA	SCHMIDT	NA	1933	8	12
GABRIELE	NA	SCHAECER	NA	1930	2	5
LIESELOTTE	NA	MOELLER	NA	1975	5	8
SILKE	NA	SCHNEIDER	NA	1948	12	9
ERIKA	NA	MUELLER	NA	1978	7	29
HELGA	NA	SCHMIDT	NA	1967	10	7
CLAUDIA	NA	BECKER	NA	1982	7	5
KARIN	NA	KOCH	NA	1940	4	14
MONIKA	NA	MUELLER	NA	1949	8	25
CHRISTA	NA	MUELLER	NA	1960	8	28
GERDA	NA	BERGMANN	NA	1954	9	20
ANKE	NA	GRAF	NA	1985	1	16
KATHRIN	NA	HAHN	NA	1943	11	12
BARBARA	NA	HOFFMANN	NA	1942	6	1
RENATE	NA	MUELLER	NA	1986	2	18
ELKE	NA	MUELLER	NA	1938	8	2
MONIKA	NA	KRAEMER	NA	1993	2	18
INGEBORG	NA	BERGER	NA	1960	1	12
SABINE	NA	SCHOLZ	NA	1986	9	28
MARION	NA	KRAEMER	NA	1958	9	11
ANJA	NA	SCHMIDT	NA	1918	5	9
HELGA	NA	GROSS	NA	1936	12	13
ANJA	NA	SCHOLZ	NA	1948	9	29
INGRID	NA	BAUER	NA	1951	12	14
INGEBORG	NA	SCHMITT	NA	1972	8	3
RENATE	NA	PETERS	NA	2000	4	27
IRMGARD	NA	SCHMIDT	NA	1935	12	30
SABINE	NA	WINKLER	NA	1986	3	24
ANKE	NA	KOERTIG	SCHMIDT	1965	11	2
KATHARINA	NA	WERNER	NA	1967	2	3
BIRGIT	NA	MEIER	NA	1941	6	8
MONIKA	NA	HORN	NA	1964	12	31
BIRGIT	NA	ZIMMERMANN	NA	2003	9	26
INGRID	NA	FISCHER	BECKER	1988	11	13
MARIE	NA	ERNST	NA	1935	1	1
SABINE	NA	MUELLER	NA	1975	2	19
KAETHE	NA	BERGMANN	NA	1944	11	17
MARIA	NA	ZIMMERMANN	NA	1931	3	11
ELISABETH	NA	SCHROEDER	NA	1959	3	15
SILVIA	NA	KOERTIG	NA	1930	3	28
CLAUDIA	NA	SCHWARZ	NA	1951	1	30
GERDA	NA	GRAF	NA	1932	12	23
HANNELORE	NA	SCHMIDT	NA	1937	9	10
SUSANNE	NA	SCHWARZ	NA	2004	11	9
ANNA	NA	MUELLER	NA	1959	7	9
KATHRIN	NA	MUELLER	NA	2006	12	28
HELGA	NA	ZIEGLER	NA	1969	8	9
MONIKA	NA	SCHAEFER	NA	1977	5	17
HELGA	NA	LUDWIG	NA	1933	1	9
JOHANNA	NA	FRIEDRICH	NA	1965	2	9
CORNELIA	NA	MUELLER	NA	1998	6	8
GISELA	GISELA	WERNER	NA	1970	7	26
ANNA	NA	WAGNER	NA	1972	5	31
BARBARA	NA	BECK	NA	1955	1	28
CHRISTINA	NA	SCHNEIDER	NA	1948	1	21
SABINE	NA	KOCH	NA	1984	8	12
MARIA	NA	FISCHER	NA	1963	7	15
ANNA	NA	MUELLER	NA	1993	7	9
MELANIE	NA	SCHMIDT	NA	1930	11	20
BIRGIT	NA	WINKLER	NA	1966	7	15
ANNA	HANNELORE	KUHN	NA	1993	1	1
MONIKA	NA	ROTH	NA	2001	5	22
IRMGARD	NA	MAYER	NA	1971	6	6
KATHRIN	NA	VOGEL	NA	1983	9	2
CLAUDIA	NA	MAIER	SCHMIDT	1971	4	10
CHRISTA	NA	HARTMANN	NA	2001	11	11
SIGRID	NA	SCHMITT	NA	1974	8	29
NICOLE	URSULA	SIMON	NA	1975	1	6
GABRIELE	NA	SCHMIDT	NA	1951	3	21
URSULA	NA	MUELLER	NA	1927	10	2
CHRISTA	NA	BECKER	NA	1960	5	25
KARIN	NA	ENGEL	NA	1950	12	25
ANDRNEA	NA	BRAUN	NA	1959	4	9
GABRIELE	NA	NEUMANN	NA	1962	11	9
BRIGITTE	NA	KRUEGER	NA	1977	10	27
PETRA	NA	SCHMIDT	NA	1932	5	14
ANNA	NA	SCHMIDT	NA	1977	3	30
CHRISTEL	NA	BAUER	NA	1976	3	16
ANNA	NA	JAEGER	NA	1986	10	29
GISELA	NA	FRANK	NA	1942	10	31
INGRID	NA	HOFFMANN	NA	1963	10	11
URSULA	NA	HERRMANN	NA	1974	2	26
BARBARA	NA	MAYER	NA	1971	5	4
CHRISTINE	NA	SOMMER	NA	1988	10	6
BARBARA	NA	GROSS	NA	1993	10	26
ELKE	NA	FRANK	NA	1983	12	6
SABINE	NA	SEIDEL	NA	1994	6	23
KATHRIN	NA	HOFFMANN	NA	1975	6	29
SABINE	NA	SCHMIDT	NA	1985	7	2
HELGA	NA	LEHMANN	NA	1971	3	5
KARIN	GISELA	SCHNEIDER	NA	1946	3	3
CHRISTA	NA	SCHAEFER	NA	1927	10	10
YVONNE	NA	MEYER	NA	1981	5	8
STEFANIE	KARIN	MAIER	NA	1957	3	26
NICOLE	NA	ZIMMERMANN	NA	1990	9	3
INGEBORG	NA	KOCH	NA	2003	8	9
ANDREA	NA	KAISER	NA	1997	3	6
SONJA	NA	HOFFMANN	NA	1989	9	3
HEIKE	NA	HAAS	NA	1986	2	28
BIRGIT	NA	SCHNEIDER	NA	1968	4	7
JUTTA	NA	HAHN	NA	1953	8	13
CLAUDIA	NA	WINKLER	NA	1982	1	8
KARIN	NA	SCHROEDER	NA	2002	2	1
KARIN	NA	MEYER	NA	1939	4	28
PETRA	NA	VOGEL	NA	1971	6	10
ANDREA	NA	SCHULZE	NA	1979	10	28
MARIANNE	NA	BECK	NA	1949	1	22
HEIKE	NA	MUELLER	NA	1944	7	29
CHRISTA	NA	SCHUNERT	NA	1928	4	19
SUSANNE	NA	BECKER	NA	1950	1	18
SILVIA	NA	KRUEGER	NA	1938	1	22
GERTRUD	NA	BECKER	NA	1958	9	15
HELGA	NA	MUELLER	NA	1060	6	27
CHRISTA	NA	FISCHER	NA	1980	6	4
HELGA	NA	KOEHLER	NA	1937	6	23
INGRID	NA	SCHUMACHER	NA	1970	4	27
SUSANNE	NA	SCHULZE	NA	1944	3	10
GISELA	NA	MEYER	NA	2007	9	19
SUSANNE	NA	SCHREIBER	NA	1942	11	3
MONIKA	NA	MAYDR	NA	1965	4	25
GERDA	NA	BAUMANN	NA	1957	9	7
CHRISTA	NA	KOEHLER	NA	1953	11	8
MARGARETE	NA	KRUEGER	NA	1987	7	9
CHRISTINA	NA	KOERTIG	NA	1954	3	27
NICOLE	NA	MEYER	NA	1942	5	4
EDIMTH	NA	MUELLER	NA	2007	10	26
ILSE	NA	HAHN	NA	1993	12	2
RENATE	NA	HOFMANN	NA	1966	6	8
RENATE	NA	BAUER	NA	1994	12	28
URSULA	NA	WALTER	NA	1946	1	22
CORNELIA	NA	SCHMIDT	NA	1955	11	19
SABINE	NA	ALBRECHT	NA	2000	3	22
NICOLE	NA	WERNER	NA	1953	12	16
SONJA	NA	SOMMER	NA	1928	1	12
RENATE	NA	FISCHER	NA	1990	7	28
ANNDA	NA	FRANKE	NA	1992	12	14
ELKE	SUSANNE	KOERTIG	NA	1944	11	26
KARIN	NA	MOELLER	NA	1967	8	4
HERTHA	BRIGITTE	WINTER	NA	2005	7	10
HELGA	NA	KRAUSE	NA	1992	12	15
BILRGIT	NA	KOEHLER	NA	1994	5	8
ANDREA	NA	ROTH	NA	1943	7	27
PETRA	NA	KOCH	NA	1977	4	3
CHRISTINE	NA	WOLF	NA	1928	6	22
URSUHLA	NA	SCHMIDT	NA	1968	6	15
NICOLE	NA	BECKER	NA	1935	4	1
NICOLE	NA	MEIER	NA	1978	9	27
URSULA	NA	MEYER	NA	1940	7	14
BRIGITTE	NA	KOEHLER	NA	1951	3	14
HELGA	NA	LANGE	NA	1973	7	10
MARIA	NA	SCHULZE	NA	1957	5	27
SUSANNE	NA	BECK	NA	1978	12	23
CLAUDIA	NA	ENGEL	NA	1939	11	30
HILDEGARD	NA	MUELLER	NA	1978	10	21
INGE	NA	HAAS	NA	1948	6	25
MONIKA	NA	HERRMANN	NA	1945	1	10
MARIANNE	NA	LORENZ	NA	1995	9	20
MARION	SABINE	MEIER	NA	1963	4	12
URSULA	RENATE	SCHROEDER	NA	1956	2	22
BRIGITTE	NA	SCHMID	NA	1962	8	7
URSULA	NA	LUDWIG	NA	1946	5	12
ANNA	NA	MAIER	NA	1927	12	14
MONIKA	NA	HARTMANN	NA	2006	10	20
CLAUDIA	NA	HUBER	NA	1940	9	30
INGEBORG	NA	HORN	NA	1971	7	10
BRIGITTE	NA	KOCH	NA	2002	6	28
RENATE	NA	SCHMIDT	NA	1999	7	21
MARIANNE	NA	KRAUS	NA	1967	8	21
CHRISTINE	NA	OTTO	NA	1954	6	24
NICOLE	NA	KRAEMER	NA	2005	4	7
RENATE	NA	SCHNEIDER	NA	1980	12	26
MARGARETE	NA	SCHWARZ	NA	1997	4	17
RENATE	NA	BECKER	NA	1948	3	7
GISELA	NA	MUELLER	NA	1950	4	22
SABINE	NA	HOFFMANN	NA	1976	11	16
KARIN	NA	MUELLER	NA	1980	6	25
MONIKA	NA	PETERS	NA	1988	9	7
HELGA	NA	PETERS	NA	1979	11	2
MARIA	NA	PETERS	NA	1944	7	7
BIRGITR	NA	SCHULZE	NA	1998	8	17
HILDEGARD	NA	ZIEGLER	NA	1966	5	3
KATHARINA	ANDREA	KOCH	NA	1960	7	2
RENATE	NA	WEBER	NA	2004	4	1
BARBARA	NA	BUSCH	NA	1970	1	21
INGEBORG	NA	SCHMIDT	SCHMID	1998	12	18
GABRIELE	NA	VOGEL	NA	1958	11	20
ANKE	NA	MUELLER	NA	1962	2	23
SABINE	NA	JAEGER	NA	1972	4	18
IRMGARD	NA	WEBER	NA	1970	2	1
BRIGITTE	NA	MUELLER	NA	1973	3	23
MARIANNE	NA	MUELLER	NA	1969	1	3
CHRISTEL	NA	HARTMANN	NA	1945	10	26
RENATE	NA	JUNG	NA	1969	1	3
SILKE	NA	DIETRICH	NA	1965	5	9
MONIKA	NA	NEUMANN	NA	1976	12	21
SUSANNE	NA	LEHMANN	NA	1924	7	29
ANJA	NA	NEUMANN	NA	1963	11	1
ANGELIKA	NA	SCHNEIDER	NA	1970	3	30
UTE	NA	MEIER	NA	1935	10	13
URSULVA	NA	HAHN	NA	1950	4	23
CHARLOTTE	NA	VOGEL	NA	1952	2	6
URSULA	NA	ZIMMERMANN	NA	1948	4	27
ERNA	NA	BECKER	NA	1935	3	10
ANDREA	NA	SCHAEFER	NA	1960	5	17
RENATE	NA	HERRMANN	NA	1987	4	30
GISELA	NA	STEIN	NA	1982	11	24
ILSE	NA	SCHULZE	NA	1947	8	7
CORNELIA	NA	SCHAEFER	NA	2006	8	30
URSULA	NA	SCHAEFER	NA	1941	3	2
GABRIELE	NA	MEIER	NA	1952	6	25
SUSAZNNE	NA	WEBER	NA	1948	10	19
BRIGITTE	NA	MEYER	NA	1992	7	30
ELISABETH	NA	MUELLER	NA	1945	10	26
INGEBORG	NA	BECKER	NA	2000	1	21
ELISABETH	NA	BECKER	NA	1959	6	9
HELGA	NA	HERRMANN	NA	1952	3	15
ANGELA	NA	KAISER	NA	1986	10	25
UTE	NA	WOLF	NA	2004	5	17
CHRISTINE	NA	KOCH	NA	1929	4	8
CHRISTA	NA	MUELLER	NA	1977	11	6
JUTTA	NA	SCHNEIDER	NA	1984	6	21
ANDREA	NA	WAGNER	NA	2005	11	30
YVONNE	NA	BRAUN	NA	1978	9	8
ANGELIKA	NA	SCHMID	NA	1960	9	23
HELGA	NA	MUELLER	NA	2008	10	31
BIRGIT	NA	SCHMITZ	NA	1992	7	24
GISELA	NA	SCHMITZ	NA	1958	4	8
KARIN	NA	SCHMITT	NA	1997	9	1
URSUZLA	NA	SCHNEIDER	NA	1990	3	24
MONIKA	NA	WEISS	NA	1991	8	26
CHRISTEL	NA	FISCHER	NA	1925	3	7
HELGA	NA	KOCH	NA	2007	4	24
BAERBEL	NA	WALTER	NA	1966	6	14
BRIGITTE	NA	MUELLER	NA	1952	5	21
INGRID	NA	HEINRICH	NA	1974	10	19
HANNELORE	NA	RICHTER	NA	1999	6	9
ERIKA	INGRID	LEHMCNN	NA	1963	1	29
GISELA	NA	KOERTIG	NA	1943	6	2
ANDREA	KARIN	KOCH	NA	1980	12	5
MONIKA	NA	WALTER	NA	2000	11	92
ELISABETH	RUTH	KUHN	NA	1936	11	12
CHRISTA	SABINE	MARTIN	NA	1986	7	8
RENATE	NA	WEBER	NA	1964	3	5
REGINA	NA	BECKER	NA	1985	4	11
MELANIE	NA	HOFFMANN	NA	1959	12	9
ELKE	NA	NEUMANN	NA	1953	5	6
SABINE	NA	LANGE	NA	1943	7	21
ANNA	NA	SCHMITZ	NA	1968	1	26
STEFANIE	NA	MOELLER	NA	1969	8	18
CLAUDIA	NA	ALBRECJT	NA	1955	6	29
HELGA	BRIGITTE	SCHWARZ	NA	1969	7	28
ANDREA	NA	BRAUN	NA	1968	6	24
HANNELORE	NA	KUEHN	NA	1955	11	28
RENATE	NA	WERNER	NA	1939	11	19
GERTRUD	NA	STEIN	NA	1954	2	2
IRMGARD	NA	LANG	NA	1980	1	27
MARTINA	NA	SCHUBERT	NA	1931	12	5
GERDA	NA	SCHMIDT	NA	1932	12	5
SANDRA	NA	FUCHS	NA	1944	7	31
DANIELA	NA	SCHNEIDER	NA	1933	4	5
ELISABETH	NA	SCHMIDT	NA	1949	4	3
MARGOT	NA	SCHMIDT	NA	1980	10	25
MONIKA	NA	SCHNEIDER	NA	1995	9	5
PETRA	NA	SCHNEIDER	NA	2000	11	7
INGE	NA	SCHULZE	NA	1987	3	8
CHRISTA	NA	KOERTIG	NA	1960	2	12
GABRIELE	NA	LANGE	NA	1933	7	22
PETFRA	NA	SCHUMACHER	NA	1928	10	17
HELGA	NA	SCHROTEDER	NA	1949	1	5
MELANIE	NA	MEYER	NA	1990	3	1
KATHRIN	ERIKA	DIETRICH	NA	1963	12	29
WALTRAUD	NA	MUELLER	NA	1929	10	7
KARIN	NA	MUELLER	NA	1974	2	9
SABINE	NA	KRUEGER	NA	1983	9	15
ELISABETH	NA	BECKER	NA	1985	7	25
EDITH	NA	VOGEL	NA	1945	7	2
CHRISTA	NA	LANGE	NA	1932	1	23
HANNELORE	NA	SCHULZ	NA	1937	2	26
ELKE	NA	KELLER	NA	1963	7	8
ILSE	NA	MUELLER	NA	1957	8	11
JUTTA	NA	SCHAEFER	NA	1977	4	21
KATHRIN	NA	SCHULZE	NA	1931	3	24
RENATE	NA	VOGT	NA	1996	1	1
SUSANNE	NA	BRAUN	NA	1939	1	14
